iter,total,longest_connection
28,61279,46.5
91,60919,42.5
453,60703,39.666666666666664
1811,60433,30.666666666666664
5229,60235,30.6
482229,59785,30.058823529411764
46245930,59713,28.6
46406532,59425,25.5
77504299,59479,25.066666666666666
