iter,total
5940,48931
5960,48391
9372,48391
9443,48085
12624,48031
12703,47869
22966,47743
23615,47707
26658,47635
26884,47491
40973,47473
56019,47473
66711,47419
67526,47221
71383,47167
73196,46987
89675,46987
116483,46861
208333,46807
468701,46807
731591,46807
2241579,46717
2506802,46699
8653717,46627
8692516,46501
8970276,46483
9253854,46483
