iter,total,longest_connection
45,47869,60.58620689655172
95,47329,51.58620689655172
105,46915,44.40909090909091
290,47491,42.40909090909091
535,47473,41.58620689655172
125944,47131,41.40909090909091
1970341,47005,37.58620689655172
9372626,46987,36.40909090909091
