battery id,houses
0,"31, 33, 41, 139, 83, 113, 127, 62, 2, 57, 3, 27, 52, 75, 143, 47, 95, 23, 110, 142, 148, 76, 93, 22, 112, 61, 29, 46, 115, 32"
1,"0, 25, 64, 114, 26, 105, 86, 90, 48, 85, 8, 60, 94, 54, 55, 123, 146, 66, 89, 69, 19, 100, 72, 132, 145, 134, 4, 73, 21, 80"
2,"147, 14, 122, 149, 140, 88, 6, 102, 135, 74, 79, 96, 107, 7, 12, 84, 106, 141, 119, 130, 45, 35, 5, 104, 101, 78, 40, 50, 81, 67"
3,"126, 16, 71, 87, 125, 10, 108, 129, 18, 38, 65, 68, 116, 131, 144, 43, 11, 36, 39, 117, 121, 138, 82, 118, 42, 136, 103, 56, 91, 59"
4,"63, 37, 120, 98, 133, 77, 53, 58, 15, 70, 24, 92, 128, 17, 44, 99, 137, 49, 30, 124, 28, 34, 9, 51, 109, 1, 13, 111, 20, 97"
