battery id,houses
0,"22, 58, 81, 103, 78, 106, 108, 60, 91, 126, 15, 99, 93, 113, 132, 94, 37, 13, 136, 57, 110, 7, 53, 71, 117, 140, 133, 98, 101"
1,"68, 95, 102, 19, 97, 43, 111, 142, 5, 96, 116, 1, 16, 66, 77, 121, 26, 47, 62, 76, 138, 79, 88, 130, 135, 39, 36, 119, 120, 112, 80"
2,"73, 131, 8, 137, 48, 63, 28, 29, 75, 4, 38, 109, 45, 89, 82, 100, 6, 139, 144, 72, 134, 10, 34, 70, 146, 61, 128, 125, 84"
3,"35, 24, 86, 129, 44, 59, 74, 143, 9, 107, 18, 90, 124, 123, 25, 51, 56, 14, 32, 27, 149, 115, 33, 21, 3, 105, 17, 67, 147"
4,"141, 87, 0, 50, 42, 46, 65, 30, 31, 55, 92, 2, 52, 64, 85, 104, 54, 12, 49, 114, 41, 118, 11, 20, 23, 69, 148, 122, 83, 40, 145, 127"
