iter,total
28,50911
32,50911
35,50911
42,50722
64,50722
346,50677
355,50659
375,50488
713,50488
3000,50488
3020,50488
4598,50488
4618,50488
6131,50488
8561,50416
8603,50380
8608,50362
10253,50308
10264,50308
11453,50308
13847,50290
13889,50254
13894,50236
15488,50200
15493,50182
16637,50182
94912,50182
110822,50182
113306,50110
114759,49984
115258,49804
390195,49786
704743,49786
1099236,49768
1139900,49642
3834236,49624
4193594,49624
6652766,49606
6653385,49426
7004814,49426
7004825,49426
7041247,49390
7326081,49372
9413940,49372
9413951,49372
9683291,49354
12448297,49354
13410255,49336
28717745,49336
29327567,49318
32839397,49300
33700089,49282
39615668,49282
